,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1657,Martinelli\48a5a5d6,br BRA,FWMF,Arsenal,eng Premier League,20-327,2001,18.5,21.0,28.6,73.3,344.2,64.7,10.5,12.6,83.3,7.89,9.84,80.2,1.95,4.16,46.8,0.27,0.15,0.12,1.51,0.49,0.76,0.27,1.41,Matches
1658,Lucas Martínez Quarta\3ec3c1c9,ar ARG,DF,Fiorentina,it Serie A,26-001,1996,15.9,64.2,70.4,91.2,1492.1,479.6,15.0,16.0,93.3,34.7,36.2,95.7,13.8,16.8,82.0,0.00,0.03,-0.03,0.19,4.59,0.13,0.00,3.58,Matches
1659,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,eng Premier League,29-251,1992,34.0,21.9,30.6,71.4,658.9,384.6,4.26,4.29,99.3,9.50,9.59,99.1,8.00,16.6,48.1,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,Matches
1660,Iñigo Martínez\3fc45c73,es ESP,DF,Athletic Club,es La Liga,30-359,1991,24.0,37.6,47.0,80.1,900.4,329.5,10.2,11.5,88.4,18.2,20.5,88.8,9.08,14.3,63.7,0.00,0.02,-0.02,0.13,2.46,0.29,0.17,2.58,Matches
1661,Javi Martínez\3672b352,es ESP,MF,Osasuna,es La Liga,22-140,1999,9.3,29.6,40.5,72.9,505.6,131.5,15.3,18.8,81.1,10.8,13.9,77.5,2.90,5.81,50.0,0.11,0.11,0.00,1.18,2.37,0.32,0.11,2.37,Matches
1662,Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,de Bundesliga,23-349,1998,1.0,19.0,22.0,86.4,543.0,419.0,1.00,1.00,100.0,12.0,12.0,100.0,6.00,9.00,66.7,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Matches
1663,Lautaro Martínez\f7036e1c,ar ARG,FW,Inter,it Serie A,24-262,1997,23.4,15.6,21.2,73.7,230.5,52.6,9.06,11.0,82.2,4.15,5.98,69.3,1.28,1.92,66.7,0.13,0.15,-0.02,1.15,0.90,0.94,0.17,1.67,Matches
1664,Pablo Martínez\ecc77652,es ESP,MF,Levante,es La Liga,24-078,1998,7.3,24.8,35.6,69.6,456.2,149.3,11.2,13.2,85.4,9.73,12.6,77.2,3.01,7.26,41.5,0.14,0.18,-0.04,0.82,2.19,0.68,0.14,3.42,Matches
1665,Gelson Martins\3ef0fa48,pt POR,FWMF,Monaco,fr Ligue 1,27-000,1995,21.0,24.8,32.4,76.6,357.6,75.7,14.8,17.2,85.9,8.33,11.0,76.1,0.90,1.62,55.9,0.14,0.14,0.00,1.10,1.10,0.67,0.19,1.90,Matches
1666,Adam Marušić\d4535821,me MNE,DF,Lazio,it Serie A,29-206,1992,28.2,55.0,63.1,87.2,884.5,315.2,29.1,31.5,92.5,21.3,24.4,87.6,3.55,5.43,65.4,0.00,0.01,-0.01,0.21,3.48,0.32,0.14,2.38,Matches
1667,Omar Mascarell\11fd2b75,es ESP,MF,Elche,es La Liga,29-098,1993,25.8,36.7,42.4,86.6,740.6,161.6,13.6,14.7,92.6,16.2,17.7,91.7,6.12,8.45,72.5,0.00,0.01,-0.01,0.19,2.44,0.12,0.00,2.13,Matches
1668,Andrea Masiello\e0314d87,it ITA,DF,Genoa,it Serie A,36-095,1986,5.7,47.2,54.2,87.1,985.6,335.3,15.6,16.7,93.7,23.0,26.0,88.5,8.42,10.7,78.7,0.00,0.00,0.00,0.18,1.05,0.00,0.00,2.46,Matches
1669,Adam Masina\de0f152c,ma MAR,DF,Watford,eng Premier League,28-129,1994,9.8,29.8,44.2,67.4,657.8,307.1,7.35,8.88,82.8,15.9,20.3,78.4,6.02,14.0,43.1,0.00,0.05,-0.05,0.71,2.14,0.61,0.41,2.65,Matches
1670,Erhan Mašović\a396fb61,rs SRB,DF,Bochum,de Bundesliga,23-170,1998,17.2,29.4,37.7,78.0,710.8,140.9,4.71,5.99,78.6,17.3,18.9,91.7,7.03,12.0,58.5,0.00,0.00,0.00,0.00,1.22,0.06,0.00,1.28,Matches
1671,Roberto Massimo\fc62fdf4,de GER,DFFW,Stuttgart,de Bundesliga,21-211,2000,9.7,23.2,30.9,75.0,374.0,94.5,11.2,13.5,83.2,9.28,10.5,88.2,1.65,3.81,43.2,0.00,0.11,-0.11,1.03,0.72,0.41,0.21,2.06,Matches
1672,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,eng Premier League,28-185,1993,7.2,40.7,52.1,78.1,643.6,217.6,22.6,25.3,89.6,15.7,20.1,77.9,2.08,5.69,36.6,0.14,0.13,0.01,0.42,3.06,0.83,0.28,3.33,Matches
1673,Jaime Mata\02319ad7,es ESP,FW,Getafe,es La Liga,33-199,1988,7.5,18.0,27.1,66.5,251.9,50.1,10.3,14.3,72.0,5.47,7.73,70.7,0.93,1.87,50.0,0.00,0.05,-0.05,0.93,0.93,0.40,0.00,1.60,Matches
1674,Juan Mata\29733c72,es ESP,MF,Manchester Utd,eng Premier League,34-013,1988,2.3,69.1,78.3,88.3,1105.7,199.1,38.7,40.9,94.7,21.7,26.1,83.3,6.09,7.83,77.8,0.00,0.09,-0.09,0.87,6.09,1.74,0.87,3.04,Matches
1675,Pape Matar Sarr\feb5d972,sn SEN,MF,Metz,fr Ligue 1,19-239,2002,21.7,36.4,43.8,83.1,720.4,160.4,14.4,16.9,85.0,15.3,17.0,89.7,5.90,8.43,69.9,0.14,0.06,0.07,0.97,3.46,0.51,0.00,3.27,Matches
1676,Eliot Matazo\15944afd,be BEL,MF,Monaco,fr Ligue 1,20-085,2002,8.7,39.5,44.5,88.9,732.5,147.0,15.6,16.9,92.5,19.2,20.3,94.4,3.79,5.52,68.8,0.00,0.01,-0.01,0.46,4.02,0.57,0.00,4.02,Matches
1677,Aleš Matějů\deb748c9,cz CZE,DF,Venezia,it Serie A,25-342,1996,6.4,26.9,36.3,74.1,506.1,255.9,10.9,13.1,83.3,11.3,13.9,80.9,3.91,7.81,50.0,0.16,0.16,0.00,1.09,1.25,1.09,0.78,3.28,Matches
1678,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,eng Premier League,24-317,1997,11.1,12.7,18.2,69.8,154.5,18.0,8.74,11.4,77.0,2.97,4.14,71.7,0.27,0.72,37.5,0.09,0.12,-0.03,0.54,0.36,0.27,0.09,0.36,Matches
1679,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,eng Premier League,33-283,1988,15.4,57.2,65.6,87.2,1090.5,307.1,23.6,26.6,88.8,24.2,26.6,91.0,8.12,9.68,83.9,0.26,0.11,0.15,0.84,6.56,0.52,0.06,5.65,Matches
1680,Joël Matip\b217ef29,cm CMR,DF,Liverpool,eng Premier League,30-276,1991,29.0,64.5,71.9,89.7,1400.5,408.4,16.9,18.8,90.1,34.9,37.3,93.6,12.3,15.0,82.3,0.07,0.03,0.04,0.31,6.03,0.41,0.00,5.07,Matches
1681,Chrislain Matsima\cf1ef7ec,fr FRA,DF,Monaco,fr Ligue 1,19-361,2002,1.5,48.7,56.0,86.9,1056.0,369.3,12.7,14.7,86.4,28.0,32.0,87.5,8.00,8.00,100.0,0.00,0.00,0.00,0.00,3.33,0.00,0.00,2.67,Matches
1682,Azor Matusiwa\a17a94d6,nl NED,MF,Reims,fr Ligue 1,24-013,1998,25.4,35.9,42.5,84.4,716.4,162.0,14.3,16.6,86.0,14.5,16.1,90.4,6.30,8.23,76.6,0.04,0.04,0.00,0.59,3.35,0.31,0.04,3.11,Matches
1683,Neal Maupay\4bcf39f6,fr FRA,FW,Brighton,eng Premier League,25-270,1996,24.8,18.3,23.6,77.5,263.0,39.4,10.9,13.0,83.9,5.40,6.57,82.2,0.93,1.41,65.7,0.08,0.09,-0.01,0.93,0.65,0.89,0.08,1.25,Matches
1684,Stephy Mavididi\30144daa,eng ENG,FWMF,Montpellier,fr Ligue 1,23-345,1998,25.0,17.9,22.6,79.0,241.1,50.8,11.2,13.3,84.6,4.72,6.04,78.1,0.80,1.16,69.0,0.12,0.12,-0.00,0.92,0.36,0.72,0.24,0.96,Matches
1685,Konstantinos Mavropanos\00963611,gr GRE,DF,Stuttgart,de Bundesliga,24-151,1997,29.1,50.3,62.0,81.3,1144.7,434.0,15.4,17.2,89.6,23.4,27.0,86.6,11.0,16.0,68.5,0.00,0.00,-0.00,0.14,3.95,0.21,0.03,3.95,Matches
1686,Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,FWMF,Bayern Munich,de Bundesliga,33-049,1989,3.8,23.4,32.6,71.8,332.4,71.8,14.5,17.6,82.1,7.63,10.5,72.5,0.53,1.32,40.0,0.53,0.18,0.34,1.05,1.84,0.26,0.00,1.58,Matches
1687,Luís Maximiano\3318286e,pt POR,GK,Granada,es La Liga,23-126,1999,31.8,19.6,35.3,55.5,717.5,507.7,2.36,2.36,100.0,7.36,7.42,99.2,9.75,25.4,38.4,0.00,0.00,0.00,0.00,0.88,0.03,0.00,0.00,Matches
1688,Borja Mayoral\64e8ed6d,es ESP,FWDF,Roma,it Serie A,25-036,1997,1.1,26.4,35.5,74.4,402.7,46.4,15.5,18.2,85.0,7.27,8.18,88.9,1.82,4.55,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,Matches
1689,Borja Mayoral\64e8ed6d,es ESP,FW,Getafe,es La Liga,25-036,1997,9.1,17.0,21.8,78.3,239.2,43.3,10.4,12.1,86.4,3.85,5.60,68.6,1.54,2.09,73.7,0.11,0.09,0.02,1.10,0.99,0.55,0.22,1.21,Matches
1690,Derek Mazou-Sacko\810edef9,fr FRA,FWDF,Troyes,fr Ligue 1,17-217,2004,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1691,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Salernitana,it Serie A,26-288,1995,12.2,26.8,37.9,70.8,508.1,214.4,11.8,13.4,88.3,10.2,14.7,69.8,4.18,8.28,50.5,0.16,0.11,0.05,1.07,1.39,1.15,0.57,2.13,Matches
1692,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Venezia,it Serie A,26-288,1995,13.8,32.2,42.0,76.6,586.8,214.1,14.1,15.9,88.2,13.5,16.7,80.5,3.91,7.54,51.9,0.00,0.06,-0.06,0.43,1.67,0.58,0.14,2.10,Matches
1693,Kevin Mbabu\493924a7,ch SUI,DF,Wolfsburg,de Bundesliga,27-022,1995,15.5,39.6,56.3,70.3,806.1,354.5,13.3,15.8,84.1,20.3,25.5,79.5,5.61,11.9,47.0,0.00,0.14,-0.14,1.35,3.16,1.29,0.58,4.84,Matches
1694,Kylian Mbappé\42fd9c7f,fr FRA,FW,Paris S-G,fr Ligue 1,23-142,1998,31.6,33.9,42.4,79.9,504.5,99.5,20.7,24.1,86.2,8.99,11.0,81.6,2.50,4.18,59.8,0.51,0.33,0.18,1.96,1.96,1.74,0.38,2.56,Matches
1695,Ibrahima Mbaye\cfbf9881,sn SEN,DF,Bologna,it Serie A,27-173,1994,1.2,29.2,40.8,71.4,403.3,246.7,16.7,20.0,83.3,10.8,14.2,76.5,0.83,5.00,16.7,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,Matches
1696,Amadou Mbengue\14d2670e,sn SEN,DFMF,Metz,fr Ligue 1,20-126,2002,6.4,37.7,44.7,84.3,819.5,292.3,11.9,12.8,92.7,20.2,22.0,91.5,5.47,9.06,60.3,0.00,0.02,-0.02,0.31,2.97,0.16,0.16,1.88,Matches
1697,Bryan Mbeumo\6afaebf2,fr FRA,FW,Brentford,eng Premier League,22-277,1999,30.3,16.5,24.8,66.5,267.1,54.6,9.34,11.8,78.8,4.79,7.16,66.8,1.75,3.60,48.6,0.23,0.12,0.12,1.16,0.79,0.79,0.17,1.49,Matches
1698,Jason Mbock\890bc029,fr FRA,FW,Angers,fr Ligue 1,22-191,1999,0.2,15.0,25.0,60.0,160.0,0.00,15.0,20.0,75.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1699,Jordi Mboula\4887118d,es ESP,FW,Mallorca,es La Liga,23-056,1999,4.8,10.8,18.8,57.8,147.5,35.0,7.29,9.79,74.5,3.33,7.08,47.1,0.00,0.63,0.0,0.00,0.02,-0.02,0.42,0.83,0.21,0.00,0.83,Matches
1700,Moustapha Mbow\3f3a2cba,sn SEN,DF,Reims,fr Ligue 1,22-064,2000,1.0,22.0,27.0,81.5,534.0,176.0,8.00,9.00,88.9,7.00,10.0,70.0,6.00,7.00,85.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1701,Nathanael Mbuku\46750e9c,fr FRA,FWMF,Reims,fr Ligue 1,20-056,2002,15.8,17.0,23.5,72.3,270.8,63.3,8.67,10.2,85.1,6.27,8.48,73.9,1.20,2.47,48.7,0.06,0.05,0.01,0.70,1.96,0.57,0.06,1.77,Matches
1702,James McArthur\cee31595,sct SCO,MF,Crystal Palace,eng Premier League,34-216,1987,15.9,48.4,58.1,83.2,899.6,194.6,19.2,21.9,87.6,21.8,24.0,90.8,5.91,9.37,63.1,0.19,0.07,0.12,0.94,3.77,1.07,0.44,4.09,Matches
1703,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,eng Premier League,19-205,2002,0.2,45.0,65.0,69.2,725.0,25.0,20.0,30.0,66.7,25.0,30.0,83.3,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1704,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,eng Premier League,20-170,2001,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1705,Liam McCarron\076bb352,sct SCO,FW,Leeds United,eng Premier League,21-065,2001,0.1,20.0,20.0,100.0,530.0,0.00,0.00,0.00,,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1706,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,32-159,1989,15.0,18.3,30.0,60.9,562.7,361.8,3.07,3.07,100.0,8.73,8.87,98.5,6.33,17.9,35.4,0.00,0.00,0.00,0.07,0.47,0.00,0.00,0.00,Matches
1707,John McGinn\90f91999,sct SCO,MF,Aston Villa,eng Premier League,27-205,1994,31.3,29.4,39.0,75.4,669.4,258.1,10.3,12.1,84.7,12.3,14.9,82.8,6.65,11.2,59.6,0.10,0.15,-0.05,1.57,5.21,1.47,0.45,4.92,Matches
1708,Weston McKennie\01c3aff5,us USA,MF,Juventus,it Serie A,23-256,1998,15.0,29.3,38.1,76.9,498.9,132.4,15.3,18.7,81.9,10.3,13.4,77.1,2.87,3.80,75.4,0.00,0.08,-0.08,1.20,2.40,0.87,0.13,2.47,Matches
1709,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,eng Premier League,19-235,2002,0.0,3,4,75.0,31,2,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1710,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,eng Premier League,30-123,1992,30.1,26.0,35.2,73.8,476.3,145.8,12.0,14.3,83.9,10.3,13.2,78.0,3.36,6.15,54.6,0.00,0.02,-0.02,0.27,2.36,0.66,0.03,2.76,Matches
1711,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,eng Premier League,22-170,1999,31.7,22.7,32.9,69.0,438.4,133.3,10.0,11.7,85.7,8.33,10.5,79.5,3.75,8.42,44.6,0.03,0.14,-0.11,1.29,1.64,1.51,0.82,2.05,Matches
1712,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,eng Premier League,25-154,1996,25.5,39.7,46.6,85.2,755.9,193.0,16.3,18.8,86.8,17.1,19.3,88.4,5.49,6.82,80.5,0.04,0.06,-0.02,0.71,3.92,0.35,0.04,3.69,Matches
1713,Gary Medel\563a68ad,cl CHI,DF,Bologna,it Serie A,34-281,1987,30.4,47.1,52.6,89.5,1067.8,361.9,12.6,13.3,95.0,23.1,24.3,95.1,11.0,14.3,77.0,0.03,0.00,0.03,0.03,2.04,0.13,0.03,1.94,Matches
1714,Facundo Medina\6f5ec8bb,ar ARG,DF,Lens,fr Ligue 1,22-348,1999,26.8,71.1,79.0,90.1,1374.3,537.2,28.1,29.7,94.6,32.5,34.9,93.1,9.66,12.6,76.6,0.00,0.01,-0.01,0.15,6.23,0.15,0.00,5.97,Matches
1715,Nathan de Medina\d686dbc0,be BEL,DF,Arminia,de Bundesliga,24-215,1997,8.6,26.7,37.3,71.7,518.4,194.0,9.88,10.7,92.4,13.7,17.4,78.7,2.91,7.21,40.3,0.00,0.00,0.00,0.00,1.05,0.12,0.12,1.16,Matches
1716,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,eng Premier League,32-230,1989,20.4,26.4,36.0,73.4,654.4,248.3,6.86,7.84,87.5,12.0,14.5,83.1,7.25,12.7,57.1,0.00,0.00,-0.00,0.10,2.65,0.15,0.05,2.30,Matches
1717,Admir Mehmedi\b500b384,ch SUI,MF,Wolfsburg,de Bundesliga,31-056,1991,0.0,4,6,66.7,62,20,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
1718,Hannibal Mejbri\ca22ccb0,tn TUN,FW,Manchester Utd,eng Premier League,19-110,2003,0.1,30.0,30.0,100.0,380.0,0.00,20.0,20.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1719,Farid El Melali\d21e361a,dz ALG,FW,Angers,fr Ligue 1,24-302,1997,0.2,10.0,25.0,40.0,180.0,0.00,5.00,5.00,100.0,5.00,5.00,100.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1720,Filippo Melegoni\6604165d,it ITA,FWMF,Genoa,it Serie A,23-082,1999,10.2,22.2,32.3,68.7,339.7,107.7,12.2,14.3,84.9,7.45,10.2,73.1,1.57,4.31,36.4,0.00,0.11,-0.11,1.18,0.78,0.98,0.39,2.84,Matches
1721,Óscar Melendo\379652be,es ESP,MFFW,Espanyol,es La Liga,24-261,1997,9.6,36.1,40.6,89.0,608.6,150.0,17.4,18.2,95.4,14.1,15.9,88.2,3.44,4.48,76.7,0.00,0.11,-0.11,1.67,4.69,1.35,0.10,3.33,Matches
1722,Gonzalo Melero\3902e91b,es ESP,MF,Levante,es La Liga,28-129,1994,17.7,35.3,41.5,84.9,596.8,113.6,17.3,19.8,87.7,13.7,15.4,89.0,3.28,4.35,75.3,0.11,0.05,0.06,0.79,2.66,0.34,0.00,3.22,Matches
1723,Birger Meling\70c52749,no NOR,DF,Rennes,fr Ligue 1,27-145,1994,20.0,47.9,55.4,86.4,883.3,270.8,20.9,22.9,91.1,20.6,23.4,87.8,5.70,7.00,81.4,0.20,0.07,0.13,0.75,2.15,0.80,0.25,4.65,Matches
1724,Arthur Melo\48b3dd60,br BRA,MF,Juventus,it Serie A,25-272,1996,10.7,59.1,65.5,90.2,1222.1,269.7,20.8,22.8,91.4,27.1,29.1,93.2,10.3,11.5,89.4,0.00,0.04,-0.04,0.56,5.70,0.37,0.00,3.74,Matches
1725,Houboulang Mendes\1545cf15,fr FRA,DF,Lorient,fr Ligue 1,24-007,1998,34.8,32.8,39.8,82.5,613.0,200.9,13.4,14.5,92.3,14.8,17.1,86.7,4.05,6.81,59.5,0.03,0.04,-0.01,0.34,1.35,0.29,0.23,1.98,Matches
1726,Nuno Mendes\f20e4cc9,pt POR,DF,Paris S-G,fr Ligue 1,19-326,2002,18.4,53.8,61.4,87.5,866.7,220.9,28.9,31.4,92.0,19.6,22.1,88.7,4.24,5.60,75.7,0.05,0.13,-0.07,0.92,2.99,0.65,0.27,2.66,Matches
1727,Thiago Mendes\c6e5d20f,br BRA,MFDF,Lyon,fr Ligue 1,30-057,1992,20.7,66.5,75.4,88.2,1373.7,384.5,23.5,25.4,92.4,29.6,31.4,94.2,12.0,16.4,73.2,0.05,0.07,-0.02,0.72,5.80,0.48,0.00,5.02,Matches
1728,Tomás Mendes\45f771db,es ESP,MF,Alavés,es La Liga,17-171,2004,0.1,40.0,50.0,80.0,1080.0,0.00,10.0,20.0,50.0,10.0,10.0,100.0,20.0,20.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1729,Brais Méndez\c9e39d91,es ESP,MF,Celta Vigo,es La Liga,25-124,1997,31.6,36.2,45.7,79.3,602.6,159.1,19.1,22.0,86.8,11.9,14.5,82.3,3.67,5.89,62.4,0.16,0.09,0.07,0.95,3.89,1.20,0.25,3.92,Matches
1730,Édgar Méndez\aed746df,es ESP,FWMF,Alavés,es La Liga,32-129,1990,17.5,14.9,24.3,61.2,274.2,81.7,7.66,10.7,71.7,4.97,7.43,66.9,2.06,4.17,49.3,0.06,0.10,-0.04,1.09,0.63,1.14,0.86,1.66,Matches
1731,Arial Mendy\9f0f4b49,sn SEN,DFFW,Clermont Foot,fr Ligue 1,27-185,1994,8.6,35.6,45.3,78.5,590.9,202.6,20.0,22.6,88.7,11.5,14.8,78.0,3.72,6.28,59.3,0.00,0.19,-0.19,1.05,1.51,1.05,0.58,2.91,Matches
1732,Batista Mendy\e472a6f6,fr FRA,MFDF,Angers,fr Ligue 1,22-119,2000,25.8,40.7,46.9,86.9,816.2,227.1,13.7,15.3,89.6,20.5,22.2,92.2,5.74,7.98,71.8,0.00,0.02,-0.02,0.23,2.87,0.31,0.08,3.18,Matches
1733,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,eng Premier League,27-298,1994,0.9,81.1,96.7,83.9,1505.6,502.2,28.9,33.3,86.7,42.2,42.2,100.0,8.89,15.6,57.1,0.00,0.33,-0.33,2.22,6.67,1.11,1.11,8.89,Matches
1734,Edouard Mendy\33887998,sn SEN,GK,Chelsea,eng Premier League,30-071,1992,31.0,22.9,27.9,82.1,549.0,307.3,6.61,6.68,99.0,9.97,10.2,97.8,5.74,10.4,55.1,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,Matches
1735,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,es La Liga,26-337,1995,17.5,66.2,72.1,91.8,1004.9,293.4,38.5,40.5,95.1,21.3,23.0,92.5,4.51,5.43,83.2,0.06,0.07,-0.01,1.03,3.66,0.86,0.23,3.60,Matches
1736,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,eng Premier League,29-322,1992,8.5,57.2,60.9,93.8,1046.9,154.6,23.5,24.4,96.6,26.5,28.1,94.1,6.00,6.47,92.7,0.00,0.00,0.00,0.12,3.41,0.12,0.00,2.24,Matches
1737,Gideon Mensah\9bdd8118,gh GHA,DF,Bordeaux,fr Ligue 1,23-297,1998,13.3,48.4,59.2,81.8,841.6,275.1,22.6,25.3,89.6,21.4,24.9,86.1,3.46,6.62,52.3,0.15,0.13,0.02,1.28,2.78,1.28,0.83,3.46,Matches
1738,Jorge Meré\9f979eb2,es ESP,DF,Köln,de Bundesliga,25-024,1997,5.4,48.1,55.6,86.7,1216.1,358.1,7.78,9.44,82.4,26.1,28.0,93.4,13.7,17.2,79.6,0.00,0.00,0.00,0.19,4.63,0.19,0.00,4.81,Matches
1739,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,25-050,1997,6.0,23.2,26.2,88.5,596.8,331.5,5.50,5.50,100.0,8.33,8.50,98.0,9.00,11.7,77.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1740,Fran Mérida\0e50f929,es ESP,MF,Espanyol,es La Liga,32-068,1990,2.0,44.0,64.0,68.8,941.0,331.0,14.5,19.5,74.4,19.0,22.5,84.4,9.50,19.5,48.7,0.00,0.05,-0.05,1.50,11.0,1.00,0.00,6.00,Matches
1741,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,es La Liga,25-323,1996,29.1,43.4,55.2,78.7,769.3,251.9,20.4,24.1,84.9,17.0,20.3,83.4,5.02,8.32,60.3,0.07,0.12,-0.05,0.86,5.12,1.20,0.10,5.74,Matches
1742,Quentin Merlin\0bfca6a1,fr FRA,DF,Nantes,fr Ligue 1,19-360,2002,19.1,48.5,64.1,75.7,919.9,409.3,22.2,25.0,88.9,19.1,23.3,81.8,6.86,13.5,51.0,0.16,0.13,0.03,1.52,5.08,1.31,0.68,6.18,Matches
1743,Martín Merquelanz\ddd5348b,es ESP,FW,Rayo Vallecano,es La Liga,26-333,1995,1.9,25.8,36.3,71.0,469.5,153.7,11.1,14.2,77.8,11.6,12.6,91.7,2.63,6.32,41.7,0.00,0.37,-0.37,3.16,1.05,3.16,1.05,3.68,Matches
1744,Yıldırım Mert Çetin\c730da00,tr TUR,DF,Hellas Verona,it Serie A,25-130,1997,0.5,50.0,66.0,75.8,996.0,550.0,18.0,22.0,81.8,28.0,34.0,82.4,4.00,6.00,66.7,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00,Matches
1745,Dries Mertens\89b2c8a9,be BEL,FWMF,Napoli,it Serie A,35-005,1987,14.3,25.4,34.2,74.2,414.6,89.1,13.6,16.4,82.9,8.95,11.3,79.0,2.17,4.62,47.0,0.00,0.10,-0.10,1.75,2.10,0.98,0.14,3.01,Matches
1746,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,eng Premier League,22-070,2000,34.6,27.2,36.3,75.0,672.2,319.6,6.10,6.13,99.5,14.0,14.1,98.8,6.97,15.8,44.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1747,Lionel Messi\d70ce98e,ar ARG,FWMF,Paris S-G,fr Ligue 1,34-321,1987,21.9,57.5,68.0,84.5,989.0,323.0,29.5,33.2,89.0,20.3,22.6,89.5,6.39,8.90,71.8,0.59,0.33,0.26,2.51,7.90,3.74,0.23,10.3,Matches
1748,Junior Messias\f49c4ae9,br BRA,FWMF,Milan,it Serie A,30-363,1991,15.5,23.3,34.6,67.2,371.6,109.7,12.4,16.1,77.1,7.61,11.4,67.0,2.32,5.23,44.4,0.06,0.11,-0.05,1.10,1.48,1.23,0.39,2.97,Matches
1749,Thomas Meunier\e162b013,be BEL,DF,Dortmund,de Bundesliga,30-241,1991,15.6,57.6,73.8,78.0,1054.9,419.3,24.4,27.6,88.4,26.4,32.8,80.5,5.83,10.8,54.2,0.26,0.17,0.09,0.90,3.59,1.54,0.83,6.73,Matches
1750,Mexer\ce492295,mz MOZ,DF,Bordeaux,fr Ligue 1,33-245,1988,13.6,42.6,50.2,84.8,1019.6,299.1,9.85,10.4,94.4,21.8,23.8,91.7,10.4,14.9,70.0,0.00,0.00,0.00,0.00,1.91,0.07,0.00,1.40,Matches
1751,Marco Meyerhöfer\0b104510,de GER,DF,Greuther Fürth,de Bundesliga,26-174,1995,25.3,35.3,47.4,74.6,608.8,282.5,17.2,19.2,89.5,13.6,18.1,75.5,3.68,7.35,50.0,0.00,0.03,-0.03,0.71,3.16,0.32,0.12,4.03,Matches
1752,Matt Miazga\9fc0f253,us USA,DF,Alavés,es La Liga,26-296,1995,9.3,25.4,32.4,78.4,625.7,211.3,6.02,7.42,81.2,12.4,13.8,89.8,6.88,11.1,62.1,0.00,0.01,-0.01,0.11,0.65,0.00,0.00,1.29,Matches
