Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1657,Martinelli,br BRA,FWMF,Arsenal,eng Premier League,20-327,2001,18.5,0.16,0.05,0.05,1.3,1.3,0.54,2.11,0.97,0.92,0,0,0,5.3,1.46,2.76,34.6,Matches
1658,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,26-001,1996,15.9,0.5,0,0,1.82,0.82,0,0.06,2.39,1.57,0,0.06,0,10.1,3.33,1.7,66.3,Matches
1659,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,29-251,1992,34,0.12,0,0,0,0.21,0,0,0.03,0,0,0,0,4.56,0,0.03,0,Matches
1660,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,30-359,1991,24,0.38,0.08,0.04,1.38,1.04,0.04,0.33,2.21,0.71,0,0.04,0,11.4,3.21,2.38,57.5,Matches
1661,Javi Martínez,es ESP,MF,Osasuna,es La Liga,22-140,1999,9.3,0.11,0,0,2.04,1.61,0,1.83,1.72,1.4,0,0,0,8.92,1.08,2.04,34.5,Matches
1662,Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23-349,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
1663,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,24-262,1997,23.4,0.26,0,0,1.71,2.35,0.47,0.73,0.9,0.73,0,0,0,4.57,1.28,2.05,38.5,Matches
1664,Pablo Martínez,es ESP,MF,Levante,es La Liga,24-078,1998,7.3,0.27,0,0,1.78,1.37,0.14,1.37,1.92,1.1,0,0,0,7.95,1.51,1.51,50,Matches
1665,Gelson Martins,pt POR,FWMF,Monaco,fr Ligue 1,27-000,1995,21,0.19,0,0,1.29,1.81,0.71,1.43,1.19,1.24,0,0,0,7.29,0.95,1.52,38.5,Matches
1666,Adam Maruši?,me MNE,DF,Lazio,it Serie A,29-206,1992,28.2,0.21,0.04,0.04,0.96,0.43,0,0.92,2.13,0.57,0,0,0,8.3,1.49,1.06,58.3,Matches
1667,Omar Mascarell,es ESP,MF,Elche,es La Liga,29-098,1993,25.8,0.23,0,0,1.55,1.12,0,0.16,1.47,0.7,0,0,0,9.11,1.59,1.71,48.2,Matches
1668,Andrea Masiello,it ITA,DF,Genoa,it Serie A,36-095,1986,5.7,0.53,0,0,0.88,0.88,0,0,2.11,1.4,0,0,0,11.6,1.4,1.4,50,Matches
1669,Adam Masina,ma MAR,DF,Watford,eng Premier League,28-129,1994,9.8,0,0,0,1.63,0.2,0,1.73,2.04,1.02,0,0.1,0,7.35,2.65,1.22,68.4,Matches
1670,Erhan Mašovi?,rs SRB,DF,Bochum,de Bundesliga,23-170,1998,17.2,0.41,0,0,1.05,0.47,0,0.06,2.62,1.28,0,0,0.06,9.65,1.98,1.69,54,Matches
1671,Roberto Massimo,de GER,DFFW,Stuttgart,de Bundesliga,21-211,2000,9.7,0,0,0,0.93,0.72,0.41,1.65,1.24,1.13,0,0,0,5.67,0.62,1.34,31.6,Matches
1672,Arthur Masuaku,cd COD,DFFW,West Ham,eng Premier League,28-185,1993,7.2,0.14,0,0,1.11,0.56,0,2.78,2.5,2.64,0,0,0,10.3,1.81,1.25,59.1,Matches
1673,Jaime Mata,es ESP,FW,Getafe,es La Liga,33-199,1988,7.5,0.93,0,0,3.07,2.27,1.2,0.8,0.67,0.53,0,0,0,3.6,3.47,8.13,29.9,Matches
1674,Juan Mata,es ESP,MF,Manchester Utd,eng Premier League,34-013,1988,2.3,0,0,0,0.43,1.3,0.43,2.17,0.87,2.17,0,0,0,9.57,0,0.43,0,Matches
1675,Pape Matar Sarr,sn SEN,MF,Metz,fr Ligue 1,19-239,2002,21.7,0.32,0,0,1.34,0.92,0.09,0,1.8,1.52,0,0,0,9.95,1.57,1.15,57.6,Matches
1676,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,20-085,2002,8.7,0.11,0,0,1.95,1.03,0,0.23,2.18,1.26,0,0,0,8.51,0.92,1.49,38.1,Matches
1677,Aleš Mat?j?,cz CZE,DF,Venezia,it Serie A,25-342,1996,6.4,0.47,0,0,1.25,0.94,0,2.19,2.5,0.78,0,0,0,6.72,1.72,0.63,73.3,Matches
1678,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,24-317,1997,11.1,0.18,0,0,1.53,0.9,1.26,0.63,0.27,0.36,0,0,0,3.69,3.33,3.69,47.4,Matches
1679,Nemanja Mati?,rs SRB,MF,Manchester Utd,eng Premier League,33-283,1988,15.4,0.19,0,0,2.08,0.45,0,0.32,2.08,1.82,0,0,0,10.7,2.21,1.36,61.8,Matches
1680,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,30-276,1991,29,0.03,0,0,0.52,0.59,0,0,2.07,1.1,0,0,0,12.1,3.79,1.79,67.9,Matches
1681,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,19-361,2002,1.5,0,0,0,0,0.67,0,0,1.33,2,0,0,0,12,3.33,0.67,83.3,Matches
1682,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,24-013,1998,25.4,0.31,0.04,0.04,1.34,1.22,0,0.04,2.44,1.65,0,0.04,0,10.6,1.1,1.18,48.3,Matches
1683,Neal Maupay,fr FRA,FW,Brighton,eng Premier League,25-270,1996,24.8,0.24,0,0,1.41,1.53,0.24,0.2,0.36,0.48,0,0,0,4.56,0.89,3.15,22,Matches
1684,Stephy Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,23-345,1998,25,0.16,0,0,0.96,2.04,0.2,1.16,0.96,0.52,0,0,0,4.32,0.4,1.96,16.9,Matches
1685,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,24-151,1997,29.1,0.1,0,0,0.79,0.69,0.07,0.24,3.13,1.34,0,0.1,0,10.1,3.95,0.89,81.6,Matches
1686,Eric Maxim Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,33-049,1989,3.8,0,0,0,2.37,2.37,0.53,0.79,0.79,2.11,0,0,0,7.37,2.37,4.21,36,Matches
1687,Luís Maximiano,pt POR,GK,Granada,es La Liga,23-126,1999,31.8,0.06,0,0,0,0.09,0,0,0,0,0,0,0.03,5.91,0,0,,Matches
1688,Borja Mayoral,es ESP,FWDF,Roma,it Serie A,25-036,1997,1.1,0,0,0,0,1.82,0,0.91,0,0,0,0,0,5.45,0,0,,Matches
1689,Borja Mayoral,es ESP,FW,Getafe,es La Liga,25-036,1997,9.1,0.33,0,0,1.21,1.98,0.33,0.55,0.88,0.55,0,0,0,4.62,2.31,3.74,38.2,Matches
1690,Derek Mazou-Sacko,fr FRA,FWDF,Troyes,fr Ligue 1,17-217,2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,Matches
1691,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,26-288,1995,12.2,0.16,0,0,1.23,0.41,0.08,2.46,1.8,1.15,0,0,0,6.97,1.31,1.15,53.3,Matches
1692,Pasquale Mazzocchi,it ITA,DF,Venezia,it Serie A,26-288,1995,13.8,0.22,0,0,1.52,0.51,0,2.32,2.97,0.87,0,0,0,6.3,1.23,1.23,50,Matches
1693,Kevin Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,27-022,1995,15.5,0.26,0,0,1.68,1.55,0.13,3.16,2.45,1.1,0,0.06,0,10.2,2.45,1.42,63.3,Matches
1694,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,23-142,1998,31.6,0.28,0,0,0.85,1.71,1.14,2.56,0.41,0.35,0.09,0,0,3.61,0.16,0.35,31.3,Matches
1695,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,27-173,1994,1.2,0,0,0,1.67,0.83,0.83,0.83,0.83,0,0,0.83,0,5,2.5,2.5,50,Matches
1696,Amadou Mbengue,sn SEN,DFMF,Metz,fr Ligue 1,20-126,2002,6.4,0.63,0,0,1.72,0.31,0,0.16,1.41,2.34,0,0,0,6.41,0.94,1.56,37.5,Matches
1697,Bryan Mbeumo,fr FRA,FW,Brentford,eng Premier League,22-277,1999,30.3,0.13,0,0,0.73,1.16,0.43,1.58,0.63,0.79,0,0,0,5.64,1.09,3.99,21.4,Matches
1698,Jason Mbock,fr FRA,FW,Angers,fr Ligue 1,22-191,1999,0.2,5,0,0,0,10,5,0,0,0,0,0,0,5,0,10,0,Matches
1699,Jordi Mboula,es ESP,FW,Mallorca,es La Liga,23-056,1999,4.8,0.42,0,0,1.46,1.88,1.04,2.5,0.42,0.63,0,0.21,0,5.42,2.5,2.92,46.2,Matches
1700,Moustapha Mbow,sn SEN,DF,Reims,fr Ligue 1,22-064,2000,1,0,0,0,0,0,0,0,1,4,0,0,0,4,1,0,100,Matches
1701,Nathanael Mbuku,fr FRA,FWMF,Reims,fr Ligue 1,20-056,2002,15.8,0.06,0,0,0.7,2.85,0.13,1.39,1.46,0.82,0,0,0,5.32,0.82,0.76,52,Matches
1702,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,34-216,1987,15.9,0.25,0,0,1.89,1.38,0.19,0.94,2.08,1.64,0,0,0,12.6,2.08,2.14,49.3,Matches
1703,James Mcatee,eng ENG,MFFW,Manchester City,eng Premier League,19-205,2002,0.2,0,0,0,10,0,0,0,5,0,0,0,0,15,5,0,100,Matches
1704,Kasey McAteer,eng ENG,FW,Leicester City,eng Premier League,20-170,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1705,Liam McCarron,sct SCO,FW,Leeds United,eng Premier League,21-065,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
1706,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,32-159,1989,15,0.07,0,0,0,0.07,0,0,0,0,0,0,0,3.47,0,0,,Matches
1707,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,27-205,1994,31.3,0.26,0,0,2.01,2.78,0,1.6,1.53,1.76,0,0,0,8.72,0.67,0.38,63.6,Matches
1708,Weston McKennie,us USA,MF,Juventus,it Serie A,23-256,1998,15,0.07,0,0,1.27,0.33,0,1.13,1.67,1.13,0,0,0,6.47,1.8,1.93,48.2,Matches
1709,Stuart McKinstry,sct SCO,MF,Leeds United,eng Premier League,19-235,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
1710,Kenny McLean,sct SCO,MF,Norwich City,eng Premier League,30-123,1992,30.1,0.1,0,0,0.76,1.5,0.1,0.86,1.83,0.8,0,0.03,0,7.61,2.86,2.29,55.5,Matches
1711,Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,22-170,1999,31.7,0.03,0,0,0.54,1.42,0.03,3.38,2.02,1.1,0,0,0,7.63,0.54,0.73,42.5,Matches
1712,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,25-154,1996,25.5,0.35,0,0,2.12,1.73,0.04,0.31,1.84,1.29,0,0.04,0,10.8,2.71,1.33,67,Matches
1713,Gary Medel,cl CHI,DF,Bologna,it Serie A,34-281,1987,30.4,0.33,0.03,0.03,1.28,1.02,0.03,0.07,2.01,0.56,0,0.07,0,9.31,1.22,1.12,52.1,Matches
1714,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,22-348,1999,26.8,0.37,0,0,1.38,0.56,0,0.15,2.24,1.9,0,0.07,0,9.51,1.46,1.31,52.7,Matches
1715,Nathan de Medina,be BEL,DF,Arminia,de Bundesliga,24-215,1997,8.6,0.23,0,0,1.51,1.16,0,0.7,2.21,1.4,0,0,0,7.21,0.93,1.63,36.4,Matches
1716,Ben Mee,eng ENG,DF,Burnley,eng Premier League,32-230,1989,20.4,0.15,0,0,0.69,0.39,0.1,0.15,1.72,0.78,0,0,0.05,11.9,4.51,1.81,71.3,Matches
1717,Admir Mehmedi,ch SUI,MF,Wolfsburg,de Bundesliga,31-056,1991,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
1718,Hannibal Mejbri,tn TUN,FW,Manchester Utd,eng Premier League,19-110,2003,0.1,10,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,Matches
1719,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,24-302,1997,0.2,0,0,0,0,5,0,5,0,0,0,0,0,25,5,0,100,Matches
1720,Filippo Melegoni,it ITA,FWMF,Genoa,it Serie A,23-082,1999,10.2,0.1,0,0,1.47,1.67,0.2,1.96,0.69,0.88,0,0,0,9.02,0.88,2.94,23.1,Matches
1721,Óscar Melendo,es ESP,MFFW,Espanyol,es La Liga,24-261,1997,9.6,0,0,0,1.04,3.65,0,0.21,0.21,0.42,0,0,0,6.88,0.83,1.67,33.3,Matches
1722,Gonzalo Melero,es ESP,MF,Levante,es La Liga,28-129,1994,17.7,0.28,0,0,1.41,1.64,0.11,0.17,0.85,1.19,0,0,0,6.72,1.24,1.98,38.6,Matches
1723,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,27-145,1994,20,0.15,0,0,0.7,1.15,0.1,0.85,1.55,1.45,0,0,0,6.15,0.85,1.15,42.5,Matches
1724,Arthur Melo,br BRA,MF,Juventus,it Serie A,25-272,1996,10.7,0.28,0,0,2.06,3.36,0,0.19,1.03,1.31,0,0,0,10.6,0.56,0.93,37.5,Matches
1725,Houboulang Mendes,fr FRA,DF,Lorient,fr Ligue 1,24-007,1998,34.8,0.14,0.03,0.03,1.12,0.52,0.14,1.35,2.13,1.15,0.03,0,0.03,6.44,1.15,0.95,54.8,Matches
1726,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,19-326,2002,18.4,0.16,0,0,1.14,1.36,0.05,1.63,2.01,1.36,0,0,0,7.66,0.43,0.65,40,Matches
1727,Thiago Mendes,br BRA,MFDF,Lyon,fr Ligue 1,30-057,1992,20.7,0.14,0.05,0,1.21,0.72,0,0.14,2.56,1.55,0,0.05,0,10.5,1.06,1.16,47.8,Matches
1728,Tomás Mendes,es ESP,MF,Alavés,es La Liga,17-171,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,Matches
1729,Brais Méndez,es ESP,MF,Celta Vigo,es La Liga,25-124,1997,31.6,0.22,0,0,2.59,1.74,0.25,1.23,1.58,1.14,0,0,0,7.69,1.87,1.8,50.9,Matches
1730,Édgar Méndez,es ESP,FWMF,Alavés,es La Liga,32-129,1990,17.5,0.29,0,0,3.09,1.66,0.86,2.74,0.91,0.86,0,0,0,6.06,2.29,2.97,43.5,Matches
1731,Arial Mendy,sn SEN,DFFW,Clermont Foot,fr Ligue 1,27-185,1994,8.6,0.12,0,0,0.7,1.4,0,2.33,1.63,0.81,0,0,0,6.63,1.05,0.93,52.9,Matches
1732,Batista Mendy,fr FRA,MFDF,Angers,fr Ligue 1,22-119,2000,25.8,0.19,0,0,1.9,0.47,0.04,0.19,1.71,1.32,0,0.04,0.08,8.06,0.81,1.2,40.4,Matches
1733,Benjamin Mendy,fr FRA,DF,Manchester City,eng Premier League,27-298,1994,0.9,0,0,0,3.33,0,0,4.44,0,1.11,0,0,0,7.78,2.22,2.22,50,Matches
1734,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,30-071,1992,31,0.1,0,0,0.03,0.06,0,0,0,0,0,0.03,0,3.74,0,0,,Matches
1735,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,26-337,1995,17.5,0.23,0,0,0.74,1.49,0.17,1.37,1.49,0.86,0.06,0.06,0,6.97,0.51,0.91,36,Matches
1736,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,29-322,1992,8.5,0.35,0,0,2.12,2.35,0,0,1.29,0.94,0,0,0,10.2,0.59,0.82,41.7,Matches
1737,Gideon Mensah,gh GHA,DF,Bordeaux,fr Ligue 1,23-297,1998,13.3,0.08,0,0,1.28,0.38,0.15,2.78,2.03,1.05,0,0.15,0,8.8,1.28,0.98,56.7,Matches
1738,Jorge Meré,es ESP,DF,Köln,de Bundesliga,25-024,1997,5.4,0.37,0,0,0.93,0.19,0,0.19,2.41,0.56,0,0,0,11.3,3.33,1.67,66.7,Matches
1739,Alex Meret,it ITA,GK,Napoli,it Serie A,25-050,1997,6,0,0,0,0,0.83,0,0,0,0,0,0,0,2.67,0,0,,Matches
1740,Fran Mérida,es ESP,MF,Espanyol,es La Liga,32-068,1990,2,0.5,0.5,0,3,1,0,0.5,1.5,0.5,0,0,0,15,0.5,2.5,16.7,Matches
1741,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,25-323,1996,29.1,0.24,0,0,2.16,2.37,0.14,0.62,1.17,1.65,0.07,0.03,0,10.3,3.4,2.51,57.6,Matches
1742,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,19-360,2002,19.1,0,0,0,0.52,0.31,0.05,3.51,1.94,1.36,0,0,0,6.75,0.42,1.41,22.9,Matches
1743,Martín Merquelanz,es ESP,FW,Rayo Vallecano,es La Liga,26-333,1995,1.9,0,0,0,1.05,1.05,0,2.11,0,1.05,0,0,0,7.89,2.11,2.63,44.4,Matches
1744,Y?ld?r?m Mert Çetin,tr TUR,DF,Hellas Verona,it Serie A,25-130,1997,0.5,0,0,0,0,2,0,0,0,0,0,0,0,10,4,4,50,Matches
1745,Dries Mertens,be BEL,FWMF,Napoli,it Serie A,35-005,1987,14.3,0.14,0,0,2.03,1.47,0.35,1.05,0.42,0.7,0.14,0,0,4.13,0.28,1.19,19,Matches
1746,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,22-070,2000,34.6,0.06,0,0,0,0.26,0,0,0,0,0,0,0,4.19,0,0,,Matches
1747,Lionel Messi,ar ARG,FWMF,Paris S-G,fr Ligue 1,34-321,1987,21.9,0,0,0,0.37,1.74,0.37,0.82,0.5,0.27,0,0,0,4.84,0.27,0.09,75,Matches
1748,Junior Messias,br BRA,FWMF,Milan,it Serie A,30-363,1991,15.5,0.13,0,0,1.61,1.68,0.19,2.26,2.06,1.55,0,0.06,0,7.23,1.87,2.65,41.4,Matches
1749,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,30-241,1991,15.6,0.26,0,0,1.86,0.51,0.06,3.01,1.28,1.47,0,0,0,10.8,2.12,0.77,73.3,Matches
1750,Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,33-245,1988,13.6,0.15,0,0,0.44,0.51,0,0.15,2.13,0.96,0,0.07,0,8.38,1.91,1.91,50,Matches
1751,Marco Meyerhöfer,de GER,DF,Greuther Fürth,de Bundesliga,26-174,1995,25.3,0,0,0,0.91,1.15,0.04,1.03,2.69,0.91,0,0.04,0.04,9.49,1.11,1.11,50,Matches
1752,Matt Miazga,us USA,DF,Alavés,es La Liga,26-296,1995,9.3,0.22,0,0,0.86,0.22,0,0,1.08,0.86,0,0,0,8.39,4.09,1.08,79.2,Matches
1753,Kingsley Michael,ng NGA,MF,Bologna,it Serie A,22-258,1999,0.8,0,0,0,0,1.25,0,0,1.25,2.5,0,0,0,7.5,0,3.75,0,Matches
1754,Sven Michel,de GER,FW,Union Berlin,de Bundesliga,31-300,1990,3.5,0.29,0,0,3.14,1.14,0.86,2.29,0,2,0,0,0,7.71,4.86,7.14,40.5,Matches
1755,Edouard Michut,fr FRA,MF,Paris S-G,fr Ligue 1,19-068,2003,0.5,0,2,0,0,4,0,0,0,0,0,0,0,2,0,2,0,Matches
1756,Miguel,es ESP,FWMF,Alavés,es La Liga,22-250,1999,6.8,0.15,0,0,1.76,2.35,0.44,0.74,0.15,0.88,0.15,0,0,4.56,1.62,6.32,20.4,Matches
1757,Valentin Mihaila,ro ROU,FWMF,Atalanta,it Serie A,22-098,2000,0.8,0,0,0,2.5,0,0,5,0,1.25,0,0,0,8.75,2.5,6.25,28.6,Matches
1758,Mikael,br BRA,FWMF,Salernitana,it Serie A,22-348,1999,1,0,0,0,3,3,0,0,0,1,0,0,0,2,5,12,29.4,Matches
1759,Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,21-192,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
1760,William Mikelbrencis,fr FRA,DF,Metz,fr Ligue 1,18-075,2004,5.4,0,0,0,1.3,0.56,0,2.04,1.67,1.48,0,0,0,6.67,0.37,1.3,22.2,Matches
1761,Nikola Milenkovi?,rs SRB,DF,Fiorentina,it Serie A,24-211,1997,30.5,0.33,0.03,0.03,1.51,0.75,0,0.07,2.36,0.72,0,0.03,0,10.7,3.93,1.18,76.9,Matches
1762,Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,28-072,1994,14.7,0.07,0,0,1.29,0.88,0.54,0.2,0.2,0.27,0,0,0,3.13,1.97,1.77,52.7,Matches
1763,Sergej Milinkovi?-Savi?,rs SRB,MF,Lazio,it Serie A,27-073,1995,32.4,0.15,0.03,0.03,1.85,1.51,0.12,1.48,1.48,1.27,0,0,0,7.04,2.84,2.35,54.8,Matches
1764,Vanja Milinkovi?-Savi?,rs SRB,GK,Torino,it Serie A,25-080,1997,27,0.11,0,0,0.07,0.07,0,0,0,0,0,0.07,0,5.15,0,0,,Matches
1765,Éder Militão,br BRA,DF,Real Madrid,es La Liga,24-113,1998,31.7,0.16,0,0,1.17,1.23,0.03,0.38,2.21,1.17,0.03,0,0,9.18,2.93,1.1,72.7,Matches
1766,Luka Milivojevi?,rs SRB,MF,Crystal Palace,eng Premier League,31-034,1991,7.4,0.14,0,0,1.76,1.49,0,1.89,0.95,1.08,0,0.14,0.14,11.6,2.16,0.81,72.7,Matches
1767,Luis Milla,es ESP,MF,Granada,es La Liga,27-216,1994,28.8,0.14,0,0,1.25,2.33,0,1.25,1.32,1.04,0,0,0,10.2,1.22,1.81,40.2,Matches
1768,Pere Milla,es ESP,FWMF,Elche,es La Liga,29-230,1992,16.9,0.18,0,0,1.42,3.08,0.47,0.59,1.18,1.07,0,0.06,0,7.28,1.48,3.08,32.5,Matches
1769,Enzo Millot,fr FRA,MF,Stuttgart,de Bundesliga,19-298,2002,0.6,0,0,0,1.67,3.33,0,0,3.33,0,0,0,0,8.33,5,1.67,75,Matches
1770,James Milner,eng ENG,MFDF,Liverpool,eng Premier League,36-127,1986,8,0.25,0,0,1.88,2.13,0,2.13,2.38,2.75,0,0,0,12,1.5,1,60,Matches
1771,Santi Mina,es ESP,FW,Celta Vigo,es La Liga,26-155,1995,26.3,0.15,0,0,2.13,1.86,0.38,0.46,0.57,0.8,0.08,0,0,5.17,5.36,6.77,44.2,Matches
1772,Yerry Mina,co COL,DF,Everton,eng Premier League,27-230,1994,9.4,0.32,0,0,0.96,0.96,0.11,0.21,1.06,1.28,0,0,0,9.04,4.04,1.81,69.1,Matches
1773,Takumi Minamino,jp JPN,FWMF,Liverpool,eng Premier League,27-115,1995,1.1,0.91,0,0,3.64,2.73,0,0,0,1.82,0,0,0,5.45,1.82,2.73,40,Matches
1774,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,29-059,1993,32.4,0.28,0,0,0.83,0.8,0.03,0.12,2.28,0.56,0,0.03,0,9.14,2.69,1.42,65.4,Matches
1775,Óscar Mingueza,es ESP,DF,Barcelona,es La Liga,22-363,1999,8.8,0.23,0,0,1.36,0.45,0.11,3.07,1.48,1.14,0,0,0,6.25,1.02,0.8,56.3,Matches
1776,Rafa Mir,es ESP,FW,Sevilla,es La Liga,24-327,1997,18.8,0.27,0,0,1.6,1.01,1.17,0.48,0.21,0.32,0,0,0,3.51,3.62,3.56,50.4,Matches
1777,Jorge Miramón,es ESP,DF,Levante,es La Liga,32-343,1989,20.5,0.24,0,0,1.46,1.22,0,1.85,2.05,1.12,0,0,0,7.61,1.17,1.02,53.3,Matches
1778,Aleksei Miranchuk,ru RUS,MFFW,Atalanta,it Serie A,26-206,1995,8.6,0,0,0,1.98,2.56,0.35,0.93,0.47,0.58,0,0,0,6.74,1.16,2.21,34.5,Matches
1779,Juan Miranda,es ESP,DF,Betis,es La Liga,22-112,2000,8.7,0.34,0,0,1.72,1.84,0,3.22,1.49,1.49,0,0,0,7.7,1.95,2.18,47.2,Matches
1780,Fabio Miretti,it ITA,MF,Juventus,it Serie A,18-281,2003,1.7,0,0,0,2.35,1.18,0,0.59,0.59,1.18,0,0,0,7.65,2.35,2.35,50,Matches
1781,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,22-252,1999,31.5,0.03,0,0,0.67,0.51,0.06,1.68,2.41,1.59,0.03,0,0,9.14,0.92,1.14,44.6,Matches
1782,Stefan Mitrovi?,rs SRB,DF,Getafe,es La Liga,31-354,1990,27.7,0.22,0,0,0.54,0.07,0,0,1.44,0.29,0,0,0,8.95,3,1.41,68,Matches
1783,Maximilian Mittelstädt,de GER,DFFW,Hertha BSC,de Bundesliga,25-054,1997,15.9,0.19,0,0,1.51,2.39,0.06,3.33,3.65,1.76,0,0.06,0,8.43,1.7,2.01,45.8,Matches
1784,Henrikh Mkhitaryan,am ARM,MFFW,Roma,it Serie A,33-110,1989,27.7,0.14,0.04,0.04,1.73,2.02,0.18,1.23,1.55,1.16,0.04,0,0,9.53,0.43,0.69,38.7,Matches
1785,Jakub Moder,pl POL,MFFW,Brighton,eng Premier League,23-034,1999,18.9,0.05,0,0,1.22,0.58,0,1.48,1.16,1.53,0,0,0,7.72,1.22,2.17,35.9,Matches
1786,Anthony Modeste,fr FRA,FW,Köln,de Bundesliga,34-027,1988,28,0.11,0,0,1.43,1.32,1.18,0.43,0.21,0.21,0.04,0,0,2.89,3.79,2.71,58.2,Matches
1787,Marco Modolo,it ITA,DF,Venezia,it Serie A,33-049,1989,4.4,0.45,0,0,1.36,0.91,0,0,1.36,0.68,0,0,0,6.59,2.73,2.5,52.2,Matches
1788,Luka Modri?,hr CRO,MF,Real Madrid,es La Liga,36-244,1985,21,0.14,0,0,1.05,1.81,0.05,1.38,1.38,0.57,0,0,0,6.67,0.43,0.76,36,Matches
1789,Terem Moffi,ng NGA,FW,Lorient,fr Ligue 1,22-351,1999,28.6,0.03,0,0,0.98,0.77,0.52,0.45,0.35,0.42,0.03,0,0,3.78,2.06,3.39,37.8,Matches
1790,Kevin Möhwald,de GER,MF,Union Berlin,de Bundesliga,28-312,1993,3.9,0.51,0,0,1.28,1.03,0.51,1.28,1.03,0.77,0,0,0,12.8,1.28,1.28,50,Matches
1791,Dion Moise Sahi,ci CIV,FWMF,Strasbourg,fr Ligue 1,20-142,2001,1.4,0,0,0,0.71,2.86,0,1.43,0,0,0,0,0,8.57,0.71,2.14,25,Matches
1792,Johan Mojica,co COL,DF,Elche,es La Liga,29-263,1992,30.7,0.13,0.03,0,1.07,1.6,0.13,3.94,2.02,0.88,0,0,0,9.22,1.04,0.62,62.7,Matches
1793,Clinton Mola,eng ENG,DF,Stuttgart,de Bundesliga,21-057,2001,1.3,0,0,0,0,0.77,0,0,1.54,0,0,0,0,10.8,5.38,3.08,63.6,Matches
1794,Jorge Molina,es ESP,FW,Granada,es La Liga,40-019,1982,20,0.1,0,0,1.1,2.15,0.55,0.5,0.3,0.3,0,0,0,3.9,5,5.7,46.7,Matches
1795,Nahuel Molina,ar ARG,DF,Udinese,it Serie A,24-160,1997,27.3,0.26,0.04,0.04,1.14,0.59,0.04,2.82,1.28,0.88,0,0,0,7.22,0.51,0.84,37.8,Matches
1796,Cristian Molinaro,it ITA,DF,Venezia,it Serie A,38-285,1983,6.1,0,0,0,1.15,1.31,0.16,1.8,1.48,1.48,0,0,0,7.38,1.31,0.66,66.7,Matches
1797,Florent Mollet,fr FRA,FWMF,Montpellier,fr Ligue 1,30-173,1991,27.5,0.22,0,0,1.31,1.71,0.33,1.89,1.2,0.62,0,0,0,6.18,0.51,1.05,32.6,Matches
